"Store","Dept","Date","Weekly_Sales","IsHoliday"
1,1,2010-02-05,24924.5,FALSE
1,1,2010-02-12,46039.49,TRUE
1,1,2010-02-19,41595.55,FALSE
1,1,2010-02-26,19403.54,FALSE
1,1,2010-03-05,21827.9,FALSE
1,1,2010-03-12,21043.39,FALSE
1,1,2010-03-19,22136.64,FALSE
1,1,2010-03-26,26229.21,FALSE
1,1,2010-04-02,57258.43,FALSE
1,1,2010-04-09,42960.91,FALSE
1,1,2010-04-16,17596.96,FALSE
1,1,2010-04-23,16145.35,FALSE
1,1,2010-04-30,16555.11,FALSE
1,1,2010-05-07,17413.94,FALSE
1,1,2010-05-14,18926.74,FALSE
1,1,2010-05-21,14773.04,FALSE
1,1,2010-05-28,15580.43,FALSE
1,1,2010-06-04,17558.09,FALSE
1,1,2010-06-11,16637.62,FALSE
1,1,2010-06-18,16216.27,FALSE
1,1,2010-06-25,16328.72,FALSE
1,1,2010-07-02,16333.14,FALSE
1,1,2010-07-09,17688.76,FALSE
1,1,2010-07-16,17150.84,FALSE
1,1,2010-07-23,15360.45,FALSE
1,1,2010-07-30,15381.82,FALSE
1,1,2010-08-06,17508.41,FALSE
1,1,2010-08-13,15536.4,FALSE
1,1,2010-08-20,15740.13,FALSE
1,1,2010-08-27,15793.87,FALSE
1,1,2010-09-03,16241.78,FALSE
1,1,2010-09-10,18194.74,TRUE
1,1,2010-09-17,19354.23,FALSE
1,1,2010-09-24,18122.52,FALSE
1,1,2010-10-01,20094.19,FALSE
1,1,2010-10-08,23388.03,FALSE
1,1,2010-10-15,26978.34,FALSE
1,1,2010-10-22,25543.04,FALSE
1,1,2010-10-29,38640.93,FALSE
1,1,2010-11-05,34238.88,FALSE
1,1,2010-11-12,19549.39,FALSE
1,1,2010-11-19,19552.84,FALSE
1,1,2010-11-26,18820.29,TRUE
1,1,2010-12-03,22517.56,FALSE
1,1,2010-12-10,31497.65,FALSE
1,1,2010-12-17,44912.86,FALSE
1,1,2010-12-24,55931.23,FALSE
1,1,2010-12-31,19124.58,TRUE
1,1,2011-01-07,15984.24,FALSE
1,1,2011-01-14,17359.7,FALSE
1,1,2011-01-21,17341.47,FALSE
1,1,2011-01-28,18461.18,FALSE
1,1,2011-02-04,21665.76,FALSE
1,1,2011-02-11,37887.17,TRUE
1,1,2011-02-18,46845.87,FALSE
1,1,2011-02-25,19363.83,FALSE
1,1,2011-03-04,20327.61,FALSE
1,1,2011-03-11,21280.4,FALSE
1,1,2011-03-18,20334.23,FALSE
1,1,2011-03-25,20881.1,FALSE
1,1,2011-04-01,20398.09,FALSE
1,1,2011-04-08,23873.79,FALSE
1,1,2011-04-15,28762.37,FALSE
1,1,2011-04-22,50510.31,FALSE
1,1,2011-04-29,41512.39,FALSE
1,1,2011-05-06,20138.19,FALSE
1,1,2011-05-13,17235.15,FALSE
1,1,2011-05-20,15136.78,FALSE
1,1,2011-05-27,15741.6,FALSE
1,1,2011-06-03,16434.15,FALSE
1,1,2011-06-10,15883.52,FALSE
1,1,2011-06-17,14978.09,FALSE
1,1,2011-06-24,15682.81,FALSE
1,1,2011-07-01,15363.5,FALSE
1,1,2011-07-08,16148.87,FALSE
1,1,2011-07-15,15654.85,FALSE
1,1,2011-07-22,15766.6,FALSE
1,1,2011-07-29,15922.41,FALSE
1,1,2011-08-05,15295.55,FALSE
1,1,2011-08-12,14539.79,FALSE
1,1,2011-08-19,14689.24,FALSE
1,1,2011-08-26,14537.37,FALSE
1,1,2011-09-02,15277.27,FALSE
1,1,2011-09-09,17746.68,TRUE
1,1,2011-09-16,18535.48,FALSE
1,1,2011-09-23,17859.3,FALSE
1,1,2011-09-30,18337.68,FALSE
1,1,2011-10-07,20797.58,FALSE
1,1,2011-10-14,23077.55,FALSE
1,1,2011-10-21,23351.8,FALSE
1,1,2011-10-28,31579.9,FALSE
1,1,2011-11-04,39886.06,FALSE
1,1,2011-11-11,18689.54,FALSE
1,1,2011-11-18,19050.66,FALSE
1,1,2011-11-25,20911.25,TRUE
1,1,2011-12-02,25293.49,FALSE
1,1,2011-12-09,33305.92,FALSE
1,1,2011-12-16,45773.03,FALSE
1,1,2011-12-23,46788.75,FALSE
1,1,2011-12-30,23350.88,TRUE
1,2,2010-02-05,50605.27,FALSE
1,2,2010-02-12,44682.74,TRUE
1,2,2010-02-19,47928.89,FALSE
1,2,2010-02-26,44292.87,FALSE
1,2,2010-03-05,48397.98,FALSE
1,2,2010-03-12,43751.94,FALSE
1,2,2010-03-19,43615.49,FALSE
1,2,2010-03-26,41892.55,FALSE
1,2,2010-04-02,47450.5,FALSE
1,2,2010-04-09,46549.73,FALSE
1,2,2010-04-16,45025.02,FALSE
1,2,2010-04-23,44418.11,FALSE
1,2,2010-04-30,45971.3,FALSE
1,2,2010-05-07,47903.01,FALSE
1,2,2010-05-14,43675.61,FALSE
1,2,2010-05-21,44319.15,FALSE
